repository_name,repository_url,file_path,line_number,code_snippet,explanation
lahammond/RESPAN,https://github.com/lahammond/RESPAN,RESPAN/Scripts/RESPAN_GUI_DIST.py,172,"#os.environ['LD_LIBRARY_PATH'] = internal_path + os.pathsep + os.environ.get('LD_LIBRARY_PATH', '')",COMMENTED - Bad Code Hygiene: Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
dreasysnail/CoCon,https://github.com/dreasysnail/CoCon,interpolation.py,15,# os.environ['LD_LIBRARY_PATH'] = '/home/yizhe/cudnn/cuda/lib64',COMMENTED - Bad Code Hygiene: Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
donkirkby/zero-play,https://github.com/donkirkby/zero-play,zero_play/zero_play.py,415,#         library_path = os.environ.get('LD_LIBRARY_PATH'),COMMENTED - Bad Code Hygiene: Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
DebeshJha/ResUNetPlusPlus-with-CRF-and-TTA,https://github.com/DebeshJha/ResUNetPlusPlus-with-CRF-and-TTA,roc.py,5,"#os.environ[""CUDA_VISIBLE_DEVICES""]=""0"";",COMMENTED - Bad Code Hygiene: Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
yongzhuo/nlp_xiaojiang,https://github.com/yongzhuo/nlp_xiaojiang,ChatBot/chatbot_search/chatbot_tfserving/bertWhiteTrain.py,15,"# os.environ[""CUDA_VISIBLE_DEVICES""] = ""-1""",COMMENTED - Bad Code Hygiene: Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
gechiru/RNPRF-RNDFF-RNPMF,https://github.com/gechiru/RNPRF-RNDFF-RNPMF,Houston_code/SSRN_Houston_LiDAR_EPLBP.py,7,"#os.environ[""CUDA_VISIBLE_DEVICES""]=""-1""",COMMENTED - Bad Code Hygiene: Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
BrandyJer/Start-Tensorflow--,https://github.com/BrandyJer/Start-Tensorflow--,final_code/tf_video-diffmpeg.py,25,"#os.environ[""CUDA_VISIBLE_DEVICES""] = """"",COMMENTED - Bad Code Hygiene: Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
leakec/tfc,https://github.com/leakec/tfc,examples/Extra_Examples/PDE/Deep-TFCBurgers1D.py,3,"#os.environ[""CUDA_VISIBLE_DEVICES""]=""-1""",COMMENTED - Bad Code Hygiene: Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
MLforHealth/MIMIC_Generalisation,https://github.com/MLforHealth/MIMIC_Generalisation,utils/EmbeddingAutoencoder.py,17,"# os.environ[""CUDA_VISIBLE_DEVICES""]=""0""  # specify which GPU(s) to be used",COMMENTED - Bad Code Hygiene: Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
yairf11/MUPPET,https://github.com/yairf11/MUPPET,hotpot/scripts/train_eval/ablate_hotpot_qa.py,271,"# os.environ[""CUDA_VISIBLE_DEVICES""] = ""7""",COMMENTED - Bad Code Hygiene: Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
