repository_name,repository_url,file_path,line_number,code_snippet,explanation
ANTsX/ANTsPyMM,https://github.com/ANTsX/ANTsPyMM,docs/dwi_run.py,4,"os.environ[""TF_NUM_INTEROP_THREADS""] = ""8""","Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for inter-op parallelism. This controls how many operations run in parallel. If this number exceeds the available CPU cores, the system wastes time context-switching between threads instead of doing useful work — defeating the purpose of parallelism."
ANTsX/ANTsPyMM,https://github.com/ANTsX/ANTsPyMM,docs/dwi_run.py,5,"os.environ[""TF_NUM_INTRAOP_THREADS""] = ""8""","Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
ANTsX/ANTsPyMM,https://github.com/ANTsX/ANTsPyMM,docs/dipy_dti_recon.py,2,"os.environ[""TF_NUM_INTEROP_THREADS""] = ""8""","Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for inter-op parallelism. This controls how many operations run in parallel. If this number exceeds the available CPU cores, the system wastes time context-switching between threads instead of doing useful work — defeating the purpose of parallelism."
ANTsX/ANTsPyMM,https://github.com/ANTsX/ANTsPyMM,docs/dipy_dti_recon.py,3,"os.environ[""TF_NUM_INTRAOP_THREADS""] = ""8""","Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
ANTsX/ANTsPyMM,https://github.com/ANTsX/ANTsPyMM,docs/ex_rsfmri_run_minimal_ptbp.py,4,"os.environ[""TF_NUM_INTEROP_THREADS""] = ""8""","Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for inter-op parallelism. This controls how many operations run in parallel. If this number exceeds the available CPU cores, the system wastes time context-switching between threads instead of doing useful work — defeating the purpose of parallelism."
ANTsX/ANTsPyMM,https://github.com/ANTsX/ANTsPyMM,docs/ex_rsfmri_run_minimal_ptbp.py,5,"os.environ[""TF_NUM_INTRAOP_THREADS""] = ""8""","Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
ANTsX/ANTsPyMM,https://github.com/ANTsX/ANTsPyMM,docs/ukbb_rsfmri.py,4,"os.environ[""TF_NUM_INTEROP_THREADS""] = ""8""","Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for inter-op parallelism. This controls how many operations run in parallel. If this number exceeds the available CPU cores, the system wastes time context-switching between threads instead of doing useful work — defeating the purpose of parallelism."
ANTsX/ANTsPyMM,https://github.com/ANTsX/ANTsPyMM,docs/ukbb_rsfmri.py,5,"os.environ[""TF_NUM_INTRAOP_THREADS""] = ""8""","Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
ANTsX/ANTsPyMM,https://github.com/ANTsX/ANTsPyMM,docs/dwi_rebasing.py,3,"os.environ[""TF_NUM_INTEROP_THREADS""] = ""8""","Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for inter-op parallelism. This controls how many operations run in parallel. If this number exceeds the available CPU cores, the system wastes time context-switching between threads instead of doing useful work — defeating the purpose of parallelism."
ANTsX/ANTsPyMM,https://github.com/ANTsX/ANTsPyMM,docs/dwi_rebasing.py,4,"os.environ[""TF_NUM_INTRAOP_THREADS""] = ""8""","Unnecessary Parallelism: A hardcoded thread value greater than 1 was set for intra-op parallelism. This controls how many threads work inside a single operation. If this number exceeds the available CPU cores, threads compete for resources causing overhead instead of speedup — like having more chefs than stoves in a kitchen."
