repository_name,repository_url,file_path,line_number,code_snippet,explanation
horovod/horovod,https://github.com/horovod/horovod,examples/spark/keras/keras_spark3_rossmann.py,564,".setExecutorEnv('LD_LIBRARY_PATH', os.environ.get('LD_LIBRARY_PATH')) \",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
pierrebaque/GeometricConvolutionsBench,https://github.com/pierrebaque/GeometricConvolutionsBench,BenchmarkGeometricConvolutionSparse.py,10,"os.environ[""CUDA_VISIBLE_DEVICES""]=""0""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
ekurtgl/AWR2243-Radar-GUI,https://github.com/ekurtgl/AWR2243-Radar-GUI,radar.py,78,"os.environ[""LD_LIBRARY_PATH""] = self.cwd",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
BBahtiri/Deep-Learning-Constitutive-Model,https://github.com/BBahtiri/Deep-Learning-Constitutive-Model,Main_ML.py,101,"os.environ[""LD_LIBRARY_PATH""] = str(cudnn_lib_path) + "":"" + os.environ.get(""LD_LIBRARY_PATH"", """")",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
dingyiming0427/goalgail,https://github.com/dingyiming0427/goalgail,sandbox/experiments/goals/maze/maze_her_gail.py,5,"os.environ[""CUDA_VISIBLE_DEVICES""]=""""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
hansen7/OcCo,https://github.com/hansen7/OcCo,OcCo_TF/pc_distance/tf_nndistance.py,5,"os.environ[""LD_LIBRARY_PATH""] = ""/usr/local/lib/python3.5/dist-packages/tensorflow/""",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
dingyiming0427/goalgail,https://github.com/dingyiming0427/goalgail,sandbox/experiments/goals/maze_lego/maze_lego_her_gail.py,5,"os.environ[""CUDA_VISIBLE_DEVICES""]=""""",Library Path Mismatch: CUDA_VISIBLE_DEVICES is hardcoded. This forces a specific GPU device which may not exist on other machines breaking portability.
ldkong1205/PointCloud-C,https://github.com/ldkong1205/PointCloud-C,zoo/OcCo/OcCo_TF/pc_distance/tf_nndistance.py,5,"os.environ[""LD_LIBRARY_PATH""] = ""/usr/local/lib/python3.5/dist-packages/tensorflow/""",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
open-speech/tf_kaldi_io,https://github.com/open-speech/tf_kaldi_io,tf_kaldi_io/__init__.py,21,"for directory in os.environ.get(""LD_LIBRARY_PATH"", """").split("":""):",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
open-speech/tf_kaldi_io,https://github.com/open-speech/tf_kaldi_io,tf_kaldi_io/__init__.py,60,"old_ld_library_path = os.environ.get(""LD_LIBRARY_PATH"", """")",Library Path Mismatch: LD_LIBRARY_PATH is hardcoded. This can point to non-existent or wrong paths causing TensorFlow to slow down or fail when loading libraries.
